Rank,Driver,Points,Diff
1,Martin Truex Jr,861,
2,Denny Hamlin,823,-38
3,William Byron,784,-77
4,Christopher Bell,752,-109
5,Kyle Larson,721,-140
6,Brad Keselowski,697,-164
7,Chris Buescher,695,-166
7,Ross Chastain,695,-166
9,Ryan Blaney,694,-167
10,Kevin Harvick,693,-168
11,Kyle Busch,688,-173
12,Tyler Reddick,683,-178
13,Joey Logano,666,-195
14,Bubba Wallace,590,-271
15,Ricky Stenhouse Jr,566,-295
16,Ty Gibbs,558,-303
17,Michael McDowell,553,-308
18,Daniel Suarez,547,-314
19,A.J. Allmendinger,518,-343
20,Alex Bowman,494,-367
21,Chase Elliott,489,-372
