Rank,Driver,Wins,Points
1,Martin Truex Jr,3,861
2,Denny Hamlin,2,822
3,William Byron,5,785
4,Christopher Bell,1,752
5,Kyle Larson,2,721
6,Brad Keselowski,0,697
7,Ross Chastain,1,695
7,Chris Buescher,2,695
9,Ryan Blaney,1,694
10,Kevin Harvick,0,693
11,Kyle Busch,3,688
12,Tyler Reddick,1,683
13,Joey Logano,1,666
14,Bubba Wallace,0,590
15,Ricky Stenhouse Jr,1,566
16,Ty Gibbs,0,558
