Rank,Driver,Wins,Points
1,Kyle Larson,2,486
2,Martin Truex Jr,0,456
3,Denny Hamlin,3,447
4,Chase Elliott,1,437
5,William Byron,3,400
6,Tyler Reddick,1,396
7,Ty Gibbs,0,390
8,Ryan Blaney,0,371
9,Alex Bowman,0,365
10,Ross Chastain,0,358
11,Brad Keselowski,1,344
12,Chris Buescher,0,331
13,Kyle Busch,0,324
14,Chase Briscoe,0,322
15,Christopher Bell,1,320
16,Bubba Wallace,0,316
