Rank,Driver,Points,Diff
1,Kyle Larson,486,
2,Martin Truex Jr,456,-30
3,Denny Hamlin,447,-39
4,Chase Elliott,437,-49
5,William Byron,400,-86
6,Tyler Reddick,396,-90
7,Ty Gibbs,390,-96
8,Ryan Blaney,371,-115
9,Alex Bowman,365,-121
10,Ross Chastain,358,-128
11,Brad Keselowski,344,-142
12,Chris Buescher,331,-155
13,Kyle Busch,324,-162
14,Chase Briscoe,322,-164
15,Christopher Bell,320,-166
16,Bubba Wallace,316,-170
17,Joey Logano,292,-194
18,Daniel Suarez,263,-223
19,Noah Gragson,239,-247
20,Austin Cindric,232,-254
21,Josh Berry,230,-256
