Rank,Driver,Points,Diff
1,Martin Truex Jr,2036,
1,William Byron,2036,0
3,Denny Hamlin,2025,-11
4,Chris Buescher,2021,-15
5,Kyle Busch,2019,-17
6,Kyle Larson,2017,-19
7,Christopher Bell,2014,-22
8,Ross Chastain,2011,-25
9,Brad Keselowski,2010,-26
10,Tyler Reddick,2009,-27
11,Ryan Blaney,2008,-28
11,Joey Logano,2008,-28
13,Michael McDowell,2007,-29
14,Ricky Stenhouse Jr,2005,-31
15,Kevin Harvick,2004,-32
16,Bubba Wallace,2000,-36
17,Daniel Suarez,573,-1463
18,Ty Gibbs,567,-1469
19,Alex Bowman,532,-1504
20,Chase Elliott,526,-1510
