Leader,From Lap,To Lap,# Of Laps
Chase Briscoe,1,22,22
Denny Hamlin,23,34,12
Martin Truex Jr,35,37,3
Joey Logano,38,46,9
A.J. Allmendinger,47,49,3
Chase Elliott,50,51,2
A.J. Allmendinger,52,54,3
Ross Chastain,55,57,3
A.J. Allmendinger,58,59,2
Ross Chastain,60,75,16
Ryan Blaney,76,79,4
Ricky Stenhouse Jr,80,80,1
Aric Almirola,81,83,3
Harrison Burton,84,87,4
Daniel Suarez,88,88,1
Harrison Burton,89,89,1
Kyle Busch,90,94,5
Brad Keselowski,95,100,6
William Byron,101,101,1
Martin Truex Jr,102,102,1
Chase Briscoe,103,147,45
Kevin Harvick,148,161,14
Chris Buescher,162,163,2
