Rank,Driver,Points,Diff
1,Denny Hamlin,187,
2,Brad Keselowski,149,-38
3,Kyle Larson,147,-40
4,Chase Elliott,139,-48
5,Christopher Bell,138,-49
5,Joey Logano,138,-49
7,Kevin Harvick,136,-51
8,Martin Truex Jr,131,-56
9,Michael McDowell,126,-61
10,Kurt Busch,122,-65
11,William Byron,116,-71
12,Austin Dillon,115,-72
13,Ryan Preece,112,-75
14,Kyle Busch,98,-89
15,Ryan Blaney,91,-96
16,Chris Buescher,90,-97
17,Ricky Stenhouse Jr,88,-99
18,Alex Bowman,86,-101
19,Cole Custer,80,-107
20,Bubba Wallace,76,-111
21,Ryan Newman,75,-112
