Leader,From Lap,To Lap,# Of Laps
William Byron,1,19,19
Chase Elliott,20,26,7
Kyle Larson,27,30,4
Denny Hamlin,31,43,13
Kyle Larson,44,52,9
Joey Logano,53,53,1
Brad Keselowski,54,55,2
Joey Logano,56,61,6
Chase Elliott,62,71,10
Brad Keselowski,72,73,2
Chase Elliott,74,78,5
Brad Keselowski,79,82,4
Ryan Blaney,83,83,1
Denny Hamlin,84,87,4
Brad Keselowski,88,106,19
Kyle Larson,107,123,17
William Byron,124,129,6
Tyler Reddick,130,136,7
Michael McDowell,137,145,9
Anthony Alfredo,146,146,1
Kyle Larson,147,169,23
Denny Hamlin,170,185,16
"Martin Truex, Jr.",186,191,6
Denny Hamlin,192,205,14
Kyle Larson,206,225,20
Daniel Suarez,226,237,12
Kyle Larson,238,267,30
