Rank,Driver,Wins,Points
1,Kyle Larson,1,147
2,Christopher Bell,1,138
3,Michael McDowell,1,126
4,William Byron,1,116
5,Denny Hamlin,0,187
6,Brad Keselowski,0,149
7,Chase Elliott,0,139
8,Joey Logano,0,138
9,Kevin Harvick,0,136
10,Martin Truex Jr,0,131
11,Kurt Busch,0,122
12,Austin Dillon,0,115
13,Ryan Preece,0,112
14,Kyle Busch,0,98
15,Ryan Blaney,0,91
16,Chris Buescher,0,90
