Rank,Driver,Points,Diff
1,Martin Truex Jr,711,
2,William Byron,680,-31
3,Denny Hamlin,657,-54
4,Christopher Bell,636,-75
5,Ross Chastain,613,-98
6,Kyle Busch,609,-102
7,Kyle Larson,601,-110
7,Kevin Harvick,601,-110
9,Ryan Blaney,591,-120
10,Joey Logano,575,-136
11,Tyler Reddick,563,-148
12,Brad Keselowski,560,-151
13,Chris Buescher,549,-162
14,Ricky Stenhouse Jr,494,-217
15,Bubba Wallace,465,-246
16,Michael McDowell,455,-256
17,A.J. Allmendinger,438,-273
18,Daniel Suarez,432,-279
19,Ty Gibbs,427,-284
20,Alex Bowman,409,-302
21,Chase Elliott,399,-312
