Rank,Driver,Wins,Points
1,Martin Truex Jr,3,711
2,William Byron,4,681
3,Denny Hamlin,2,656
4,Christopher Bell,1,636
5,Ross Chastain,1,613
6,Kyle Busch,3,609
7,Kevin Harvick,0,601
7,Kyle Larson,2,601
9,Ryan Blaney,1,591
10,Joey Logano,1,575
11,Tyler Reddick,1,563
12,Brad Keselowski,0,560
13,Chris Buescher,0,549
14,Ricky Stenhouse Jr,1,494
15,Bubba Wallace,0,465
16,Michael McDowell,0,455
