Leader,From Lap,To Lap,# Of Laps
Tyler Reddick,1,8,8
Shane Van Gisbergen,9,17,9
Tyler Reddick,18,18,1
Bubba Wallace,19,22,4
Shane Van Gisbergen,23,24,2
Kyle Busch,25,25,1
Shane Van Gisbergen,26,26,1
Kyle Busch,27,34,8
Shane Van Gisbergen,35,42,8
A.J. Allmendinger,43,43,1
Ryan Preece,44,46,3
Michael McDowell,47,49,3
Kyle Busch,50,53,4
A.J. Allmendinger,54,54,1
Kyle Busch,55,68,14
Christopher Bell,69,70,2
Shane Van Gisbergen,71,73,3
Kyle Busch,74,81,8
William Byron,82,82,1
Kyle Busch,83,89,7
Christopher Bell,90,95,6
