Rank,Driver,Points,Diff
1,Ryan Blaney,111,
2,William Byron,107,-4
3,Tyler Reddick,105,-6
4,Christopher Bell,94,-17
5,Chase Elliott,92,-19
6,Alex Bowman,87,-24
7,Michael McDowell,85,-26
8,Bubba Wallace,84,-27
9,Kyle Busch,80,-31
9,Ricky Stenhouse Jr,80,-31
11,John H. Nemechek,74,-37
12,Carson Hocevar,72,-39
12,Chase Briscoe,72,-39
14,Kyle Larson,71,-40
14,Joey Logano,71,-40
16,Chris Buescher,69,-42
16,Todd Gilliland,69,-42
18,Shane Van Gisbergen,63,-48
19,Denny Hamlin,60,-51
19,Riley Herbst,60,-51
21,Ross Chastain,55,-56
