Rank,Driver,Wins,Points
1,William Byron,1,116
2,Ryan Blaney,0,114
3,Tyler Reddick,0,111
4,Chase Elliott,0,95
4,Christopher Bell,2,95
6,Bubba Wallace,0,94
7,Alex Bowman,0,87
8,Michael McDowell,0,85
9,Kyle Busch,0,81
10,Ricky Stenhouse Jr,0,80
10,Austin Cindric,0,80
12,Chris Buescher,0,77
12,Joey Logano,0,77
14,John H. Nemechek,0,76
15,Carson Hocevar,0,72
16,Kyle Larson,0,71
