Rank,Driver,Points,Diff
1,Kevin Harvick,4067,
2,Denny Hamlin,4054,-13
3,Brad Keselowski,4035,-32
4,Chase Elliott,4027,-40
5,Joey Logano,4022,-45
6,Martin Truex Jr,4017,-50
7,Alex Bowman,4009,-58
8,Kurt Busch,4006,-61
9,Kyle Busch,2187,-1880
10,Austin Dillon,2186,-1881
11,Ryan Blaney,2160,-1907
12,William Byron,2155,-1912
13,Clint Bowyer,2154,-1913
14,Aric Almirola,2143,-1924
15,Matt DiBenedetto,2131,-1936
16,Cole Custer,2123,-1944
17,Erik Jones,786,-3281
18,Jimmie Johnson,778,-3289
19,Tyler Reddick,715,-3352
20,Chris Buescher,608,-3459
21,Christopher Bell,570,-3497
