driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
Kyle Larson,5,25,1,1,28,6,0,55,55,28,50.9,9,100,90.9,19,17.3,110,137.0
Michael McDowell,12,16,2,2,33,12,32,71,39,33,46.5,2,82,74.5,0,0.0,110,103.6
Chris Buescher,26,1,3,1,30,11,14,60,46,19,31.7,2,75,68.2,32,29.1,110,117.8
Chase Elliott,4,31,4,1,34,8,-9,54,63,23,42.6,6,95,86.4,3,2.7,110,113.2
Ross Chastain,9,26,5,3,29,10,-1,68,69,35,51.5,6,91,82.7,0,0.0,110,104.7
A.J. Allmendinger,11,5,6,1,33,10,24,59,35,27,45.8,1,95,86.4,3,2.7,110,108.3
Ryan Blaney,3,30,7,1,33,10,-9,64,73,19,29.7,12,90,81.8,1,0.9,110,100.1
Tyler Reddick,2,29,8,1,29,9,-11,52,63,16,30.8,14,92,83.6,35,31.8,110,103.2
Christopher Bell,15,15,9,7,32,17,26,79,53,22,27.8,0,61,55.5,0,0.0,110,83.8
Todd Gilliland,14,8,10,3,28,11,14,55,41,30,54.5,0,96,87.3,0,0.0,110,88.7
Corey LaJoie,17,18,11,2,30,15,25,75,50,24,32.0,0,69,62.7,0,0.0,110,84.8
Kyle Busch,29,4,12,3,33,12,29,75,46,19,25.3,0,76,69.1,0,0.0,110,99.2
Brad Keselowski,35,6,13,6,37,18,8,83,75,20,24.1,1,64,58.2,0,0.0,110,78.7
Daniel Suarez,7,32,14,5,34,13,-17,63,80,13,20.6,1,85,77.3,0,0.0,110,82.1
Alex Bowman,8,33,15,4,33,14,-15,61,76,11,18.0,1,53,48.2,0,0.0,110,76.2
Zane Smith,20,34,16,6,35,20,-12,84,96,10,11.9,0,21,19.1,0,0.0,110,63.8
Carson Hocevar,13,14,17,6,32,17,-1,65,66,17,26.2,0,50,45.5,0,0.0,110,67.7
Ryan Preece,30,2,18,2,30,19,18,77,59,9,11.7,0,26,23.6,0,0.0,110,66.2
Erik Jones,38,7,19,2,38,18,-3,67,70,17,25.4,0,41,37.3,0,0.0,110,66.2
Bubba Wallace,18,19,20,9,31,21,-9,55,64,4,7.3,0,19,17.3,0,0.0,110,51.5
Joey Logano,1,9,21,1,35,18,3,61,58,9,14.8,2,36,32.7,16,14.5,110,65.1
Austin Cindric,28,22,22,14,36,22,-4,73,77,2,2.7,2,9,8.2,0,0.0,110,57.6
Kaz Grala,36,23,23,5,38,27,16,70,54,5,7.1,0,8,7.3,0,0.0,110,45.8
Ricky Stenhouse Jr,33,11,24,2,35,24,-15,67,82,11,16.4,2,20,18.2,0,0.0,110,55.1
Harrison Burton,22,10,25,8,36,25,-10,52,62,4,7.7,1,10,9.1,0,0.0,110,43.4
Noah Gragson,19,20,26,11,33,24,2,54,52,8,14.8,0,19,17.3,0,0.0,110,42.0
Martin Truex Jr,21,3,27,1,37,11,2,61,59,22,36.1,5,75,68.2,1,0.9,110,91.5
Daniel Hemric,34,12,28,7,36,24,-21,60,81,7,11.7,2,18,16.5,0,0.0,109,50.5
John H. Nemechek,37,28,29,13,38,30,-1,57,58,4,7.0,0,4,3.7,0,0.0,109,31.5
William Byron,6,27,30,6,37,26,-21,60,81,4,6.7,1,16,14.8,0,0.0,108,35.9
Will Brown,24,35,31,11,36,30,5,29,24,3,10.3,6,4,3.7,0,0.0,107,60.2
Josh Berry,32,24,32,15,34,28,-17,62,79,0,0.0,0,2,2.1,0,0.0,95,32.2
Justin Haley,27,13,33,6,34,26,-4,71,75,10,14.1,0,17,19.3,0,0.0,88,41.7
Chase Briscoe,23,17,34,15,35,28,-21,60,81,0,0.0,2,1,1.4,0,0.0,73,39.7
Cameron Waters,31,21,35,11,35,29,8,40,32,7,17.5,0,5,7.6,0,0.0,66,34.3
Austin Dillon,16,36,36,8,35,30,-16,17,33,8,47.1,0,9,23.1,0,0.0,39,45.8
Ty Gibbs,10,37,37,10,13,33,-2,5,7,5,100.0,0,16,100.0,0,0.0,16,39.5
Denny Hamlin,25,38,38,25,29,38,-4,0,4,0,0.0,0,0,0.0,0,0.0,2,23.2
