Rank,Driver,Points,Diff
1,Kyle Larson,561,
2,Chase Elliott,547,-14
3,Denny Hamlin,535,-26
4,Tyler Reddick,512,-49
5,Martin Truex Jr,508,-53
6,William Byron,495,-66
7,Brad Keselowski,466,-95
7,Ty Gibbs,466,-95
9,Christopher Bell,465,-96
10,Ross Chastain,453,-108
11,Alex Bowman,445,-116
12,Ryan Blaney,444,-117
13,Chris Buescher,412,-149
14,Bubba Wallace,388,-173
15,Kyle Busch,380,-181
16,Joey Logano,372,-189
17,Chase Briscoe,361,-200
18,Austin Cindric,320,-241
19,Daniel Suarez,316,-245
20,Michael McDowell,295,-266
21,Todd Gilliland,289,-272
