Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,5,5,Kyle Larson,Valvoline   (Rick Hendrick),Chevrolet,110,running,19,48,5
2,12,34,Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,110,running,0,40,0
3,26,17,Chris Buescher,BuildSubmarines.com   (Jack Roush),Ford,110,running,32,44,1
4,4,9,Chase Elliott,NAPA Gold Filters   (Rick Hendrick),Chevrolet,110,running,3,40,0
5,9,1,Ross Chastain,Kubota   (Trackhouse Racing),Chevrolet,110,running,0,36,0
6,11,16,A.J. Allmendinger,Cirkul   (Matthew Kaulig),Chevrolet,110,running,3,0,0
7,3,12,Ryan Blaney,Menards  Moen   (Roger Penske),Ford,110,running,1,39,0
8,2,45,Tyler Reddick,Monster Energy   (23XI Racing),Toyota,110,running,35,39,1
9,15,20,Christopher Bell,Rheem   (Joe Gibbs),Toyota,110,running,0,28,0
10,14,38,Todd Gilliland,Frontline Enterprises INC.   (Bob Jenkins),Ford,110,running,0,31,0
11,17,7,Corey LaJoie,Gainbridge   (Spire Motorsports),Chevrolet,110,running,0,28,0
12,29,8,Kyle Busch,Zone   (Richard Childress),Chevrolet,110,running,1,32,0
13,35,6,Brad Keselowski,King's Hawaiian Top Secret Car   (Jack Roush),Ford,110,running,0,29,0
14,7,99,Daniel Suarez,Freeway Insurance   (Trackhouse Racing),Chevrolet,110,running,0,26,0
15,8,48,Alex Bowman,Ally Pride   (Rick Hendrick),Chevrolet,110,running,0,28,0
16,20,71,Zane Smith,Wellcare   (Spire Motorsports),Chevrolet,110,running,0,21,0
17,13,77,Carson Hocevar,Delaware Life   (Spire Motorsports),Chevrolet,110,running,0,20,0
18,30,41,Ryan Preece,Caymus Vineyards   (Stewart Haas Racing),Ford,110,running,0,28,0
19,38,43,Erik Jones,Dollar Tree   (Legacy Motor Club),Toyota,110,running,0,22,0
20,18,23,Bubba Wallace,Columbia Sportswear Company   (23XI Racing),Toyota,110,running,0,17,0
21,1,22,Joey Logano,AutoTrader   (Roger Penske),Ford,110,running,16,18,0
22,28,2,Austin Cindric,America's Tire   (Roger Penske),Ford,110,running,0,15,0
23,36,15,Kaz Grala,N29 Capital Partners   (Rick Ware),Ford,110,running,0,14,0
24,33,47,Ricky Stenhouse Jr,Kroger Health/Tylenol   (JTG-Daugherty Racing),Chevrolet,110,running,0,13,0
25,22,21,Harrison Burton,DEX Imaging   (Wood Brothers),Ford,110,running,0,13,0
26,19,10,Noah Gragson,Overstock.com   (Stewart Haas Racing),Ford,110,running,0,11,0
27,21,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,110,running,1,18,0
28,34,31,Daniel Hemric,Cirkul   (Matthew Kaulig),Chevrolet,109,running,0,9,0
29,37,42,John H. Nemechek,Save Mart   (Legacy Motor Club),Toyota,109,running,0,8,0
30,6,24,William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,108,running,0,7,0
31,24,33,Will Brown,Mobile X / Shaw and Partners   (Richard Childress),Chevrolet,107,running,0,6,0
32,32,4,Josh Berry,Mobil 1 50th Anniversary   (Stewart Haas Racing),Ford,95,suspension,0,5,0
33,27,51,Justin Haley,Jacob Construction   (Rick Ware),Ford,88,steering,0,4,0
34,23,14,Chase Briscoe,Ford Performance Racing School   (Stewart Haas Racing),Ford,73,transmission,0,3,0
35,31,60,Cameron Waters,AUKUS / BuildSubmarines.com   (Jack Roush),Ford,66,crash,0,2,0
36,16,3,Austin Dillon,Get Bioethanol   (Richard Childress),Chevrolet,39,dvp,0,1,0
37,10,54,Ty Gibbs,He Gets Us   (Joe Gibbs),Toyota,16,dvp,0,1,0
38,25,11,Denny Hamlin,FedEx   (Joe Gibbs),Toyota,2,engine,0,1,0
