Rank,Driver,Points,Diff
1,William Byron,4041,
2,Martin Truex Jr,4036,-5
3,Denny Hamlin,4032,-9
4,Kyle Larson,4024,-17
5,Chris Buescher,4021,-20
6,Christopher Bell,4016,-25
6,Tyler Reddick,4016,-25
8,Ryan Blaney,4014,-27
9,Brad Keselowski,2192,-1849
10,Ross Chastain,2172,-1869
11,Bubba Wallace,2160,-1881
12,Kyle Busch,2150,-1891
13,Joey Logano,2143,-1898
14,Kevin Harvick,2121,-1920
15,Ricky Stenhouse Jr,2114,-1927
16,Michael McDowell,2110,-1931
17,Chase Elliott,752,-3289
18,Ty Gibbs,690,-3351
19,Daniel Suarez,684,-3357
20,Alex Bowman,656,-3385
