Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,26,26,,
yellow_flag,27,29,3,end of stage 1,#47
green_flag,30,48,19,,
yellow_flag,49,53,5,accident turn 4,#47
green_flag,54,76,23,,
yellow_flag,77,78,2,accident turn 17,#34
green_flag,79,80,2,,
yellow_flag,81,82,2,accident turn 7,#78
green_flag,83,85,3,,
yellow_flag,86,87,2,spun,none
green_flag,88,94,7,,
yellow_flag,95,96,2,accident turn 8,#47
green_flag,97,97,1,,
yellow_flag,98,99,2,stalled turn 2,#99
green_flag,100,109,10,,
Percent of race run under caution: 16.5%             Average green flag run: 11.4 laps
