Rank,Driver,Points,Diff
1,Chase Elliott,536,
2,Ross Chastain,520,-16
3,Kyle Busch,513,-23
4,Ryan Blaney,511,-25
5,Joey Logano,506,-30
6,Martin Truex Jr,481,-55
7,Kyle Larson,476,-60
8,William Byron,466,-70
9,Alex Bowman,460,-76
10,Christopher Bell,444,-92
11,Aric Almirola,423,-113
12,Kevin Harvick,416,-120
13,Chase Briscoe,386,-150
14,Tyler Reddick,381,-155
15,Austin Dillon,376,-160
16,Erik Jones,368,-168
17,Daniel Suarez,366,-170
18,Austin Cindric,362,-174
19,Kurt Busch,355,-181
20,Michael McDowell,330,-206
21,Denny Hamlin,325,-211
