Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,8,99,Daniel Suarez,Onx Homes / Renu   (Trackhouse Racing),Chevrolet,110,running,47,47,5
2,3,17,Chris Buescher,Fifth Third Bank   (Jack Roush),Ford,110,running,4,43,0
3,4,34,Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,110,running,0,37,0
4,23,4,Kevin Harvick,Gearwrench   (Stewart Haas Racing),Ford,110,running,0,39,0
5,25,2,Austin Cindric,America's Tire   (Roger Penske),Ford,110,running,0,32,0
6,14,12,Ryan Blaney,Menards  Knauf   (Roger Penske),Ford,110,running,0,32,0
7,7,1,Ross Chastain,Worldwide Express   (Trackhouse Racing),Chevrolet,110,running,0,30,0
8,2,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,110,running,26,29,0
9,20,24,William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,110,running,0,28,0
10,22,6,Brad Keselowski,Kohler Power Reserve   (Jack Roush),Ford,110,running,3,27,0
11,13,3,Austin Dillon,True Velocity   (Richard Childress),Chevrolet,110,running,0,26,0
12,18,31,Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,110,running,0,32,0
13,15,14,Chase Briscoe,Ford Performance Racing School   (Stewart Haas Racing),Ford,110,running,0,24,0
14,21,10,Aric Almirola,Farmer John  FoodMaxx   (Stewart Haas Racing),Ford,110,running,0,38,0
15,1,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,110,running,26,32,1
16,19,48,Alex Bowman,Ally/Better Together   (Rick Hendrick),Chevrolet,110,running,0,21,0
17,9,22,Joey Logano,AutoTrader   (Roger Penske),Ford,110,running,4,39,1
18,11,45,Kurt Busch,Monster Energy   (23XI Racing),Toyota,110,running,0,22,0
19,16,16,A.J. Allmendinger,Gold Fish Casino Slots   (Matthew Kaulig),Chevrolet,110,running,0,0,0
20,17,15,Joey Hand,Built Ford Proud   (Rick Ware),Ford,110,running,0,17,0
21,6,41,Cole Custer,Autodesk/HaasTooling.com   (Stewart Haas Racing),Ford,110,running,0,16,0
22,33,43,Erik Jones,FOCUSfactor   (Petty GMS Motorsports),Chevrolet,110,running,0,15,0
23,34,42,Ty Dillon,Allegiant   (Petty GMS Motorsports),Chevrolet,110,running,0,14,0
24,24,38,Todd Gilliland,Chicago Pneumatic Compressors   (Bob Jenkins),Ford,110,running,0,18,0
25,32,47,Ricky Stenhouse Jr,Kroger/Cottonelle   (JTG-Daugherty Racing),Chevrolet,110,running,0,16,0
26,28,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,110,running,0,11,0
27,31,20,Christopher Bell,DEWALT   (Joe Gibbs),Toyota,110,running,0,10,0
28,26,21,Harrison Burton,DEX Imaging   (Wood Brothers),Ford,110,running,0,18,0
29,29,77,Josh Bilicki,Pacific Coast Termite   (Spire Motorsports),Chevrolet,110,running,0,0,0
30,12,18,Kyle Busch,M&M's Crunchy Cookie   (Joe Gibbs),Toyota,110,running,0,15,0
31,10,11,Denny Hamlin,FedEx Freight   (Joe Gibbs),Toyota,110,running,0,6,0
32,36,51,Cody Ware,Nurtec ODT   (Rick Ware),Ford,109,running,0,6,0
33,35,78,Scott Heckert,Pala Casino   (B.J. McLeod),Ford,109,running,0,0,0
34,30,7,Corey LaJoie,GNARLY Premium Cut Jerky   (Spire Motorsports),Chevrolet,101,running,0,3,0
35,5,8,Tyler Reddick,Lenovo   (Richard Childress),Chevrolet,97,running,0,2,0
36,27,23,Bubba Wallace,Door Dash   (23XI Racing),Toyota,9,engine,0,1,0
