Rank,Driver,Wins,Points
1,Ross Chastain,2,520
2,Joey Logano,2,506
3,William Byron,2,466
4,Denny Hamlin,2,325
5,Chase Elliott,1,536
6,Kyle Busch,1,513
7,Kyle Larson,1,476
8,Alex Bowman,1,460
9,Chase Briscoe,1,386
10,Daniel Suarez,1,366
11,Austin Cindric,1,362
12,Kurt Busch,1,355
13,Ryan Blaney,0,511
14,Martin Truex Jr,0,481
15,Christopher Bell,0,444
16,Aric Almirola,0,423
