Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,31,24,William Byron,Axalta   (Rick Hendrick),Chevrolet,267,running,102,57,6
2,35,8,Tyler Reddick,Cheddar's Scratch Kitchen   (Richard Childress),Chevrolet,267,running,0,35,0
3,9,19,Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs   (Joe Gibbs),Toyota,267,running,37,49,0
4,17,5,Kyle Larson,Nations Guard   (Rick Hendrick),Chevrolet,267,running,5,44,0
5,4,4,Kevin Harvick,Busch Light   (Stewart Haas Racing),Ford,267,running,0,36,0
6,6,34,Michael McDowell,Love's Travel Stops / Speedco   (Bob Jenkins),Ford,267,running,0,31,0
7,23,6,Ryan Newman,Oscar Mayer Hot Dogs   (Jack Roush),Ford,267,running,0,30,0
8,5,1,Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,267,running,0,39,0
9,13,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,267,running,0,36,0
10,24,18,Kyle Busch,M&M's Fudge Brownie   (Joe Gibbs),Toyota,267,running,0,27,0
11,1,11,Denny Hamlin,Small Business Grant Contest   (Joe Gibbs),Toyota,267,running,0,35,0
12,22,3,Austin Dillon,Bass Pro Shops / Tracker Off Road   (Richard Childress),Chevrolet,267,running,0,26,0
13,15,47,Ricky Stenhouse Jr,Kroger / Tide Power Pods   (JTG-Daugherty Racing),Chevrolet,267,running,0,24,0
14,11,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,267,running,4,26,0
15,21,99,Daniel Suarez,Camping World   (Trackhouse Racing),Chevrolet,267,running,1,22,0
16,7,2,Brad Keselowski,Dent Wizard   (Roger Penske),Ford,267,running,47,31,0
17,32,42,Ross Chastain,Chevrolet Accessories   (Chip Ganassi),Chevrolet,267,running,0,20,0
18,30,14,Chase Briscoe,Ford Performance Racing School   (Stewart Haas Racing),Ford,267,running,0,19,0
19,12,17,Chris Buescher,Fastenal / Norton Saint-Gobain   (Jack Roush),Ford,267,running,57,33,1
20,3,20,Christopher Bell,Rheem   (Joe Gibbs),Toyota,267,running,0,17,0
21,8,37,Ryan Preece,Slim Jim   (JTG-Daugherty Racing),Chevrolet,267,running,0,16,0
22,19,23,Bubba Wallace,Door Dash   (23XI Racing),Toyota,267,running,2,15,0
23,10,41,Cole Custer,HaasTooling.com   (Stewart Haas Racing),Ford,267,running,0,14,0
24,27,38,Anthony Alfredo,Dude Wipes   (Bob Jenkins),Ford,267,running,0,13,0
25,2,22,Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,267,running,12,16,0
26,20,77,Justin Haley,Diamond Creek Water   (Spire Motorsports),Chevrolet,266,running,0,0,0
27,18,43,Erik Jones,Armor All   (Richard Petty Motorsports),Chevrolet,266,running,0,10,0
28,37,21,Matt DiBenedetto,Menards / Moen   (Wood Brothers),Ford,266,running,0,9,0
29,14,12,Ryan Blaney,Dex Imaging   (Roger Penske),Ford,266,running,0,11,0
30,16,10,Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,264,running,0,7,0
31,28,53,Garrett Smithley,KSDT CPA / Rich Mar Florist   (Rick Ware),Chevrolet,263,running,0,0,0
32,26,51,Cody Ware,Nurtec ODT   (Rick Ware),Chevrolet,261,running,0,0,0
33,36,52,Josh Bilicki,Jacob Companies   (Rick Ware),Ford,259,running,0,4,0
34,34,78,B.J. McLeod,Traxion.gg / Motorsport Games   (B.J. McLeod),Ford,258,running,0,0,0
35,38,00,Quin Houff,8 Ball Whiskey   (StarCom Racing),Chevrolet,258,running,0,2,0
36,25,7,Corey LaJoie,Marwin Sports Apparel   (Spire Motorsports),Chevrolet,151,engine,0,1,0
37,29,15,James Davison,Rick Ware Racing   (Rick Ware),Chevrolet,61,engine,0,1,0
38,33,66,Timmy Hill,Carl Long,Toyota,21,electrical,0,0,0
