Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,26,26,,
yellow_flag,27,30,4,competition,#53
green_flag,31,64,34,,
yellow_flag,65,72,8,fluid backstretch,#53
green_flag,73,81,9,,
yellow_flag,82,87,6,end of stage 1,#51
green_flag,88,154,67,,
yellow_flag,155,159,5,fluid backstretch,#37
green_flag,160,161,2,,
yellow_flag,162,167,6,end of stage 2,#14
green_flag,168,200,33,,
yellow_flag,201,207,7,"#10,12 accident turn 3",#53
green_flag,208,267,60,,
Percent of race run under caution: 13.5%             Average green flag run: 33.0 laps
