Rank,Driver,Points,Diff
1,Denny Hamlin,139,
2,Kevin Harvick,119,-20
3,Joey Logano,108,-31
4,Michael McDowell,106,-33
5,Chase Elliott,105,-34
6,Kurt Busch,104,-35
7,Christopher Bell,99,-40
8,Kyle Larson,97,-42
9,Martin Truex Jr,96,-43
10,Brad Keselowski,95,-44
11,Austin Dillon,90,-49
11,Ryan Preece,90,-49
13,William Byron,76,-63
14,Cole Custer,68,-71
15,Chris Buescher,67,-72
15,Bubba Wallace,67,-72
17,Alex Bowman,65,-74
18,Kyle Busch,62,-77
18,Ricky Stenhouse Jr,62,-77
20,Ryan Newman,56,-83
21,Ross Chastain,53,-86
