Leader,From Lap,To Lap,# Of Laps
Joey Logano,1,12,12
Brad Keselowski,13,52,40
Chris Buescher,53,67,15
William Byron,68,68,1
Chris Buescher,69,72,4
Brad Keselowski,73,78,6
Chris Buescher,79,82,4
Brad Keselowski,83,83,1
Chris Buescher,84,88,5
Chase Elliott,89,92,4
Chris Buescher,93,121,29
Daniel Suarez,122,122,1
Bubba Wallace,123,124,2
"Martin Truex, Jr.",125,155,31
William Byron,156,156,1
"Martin Truex, Jr.",157,159,3
William Byron,160,201,42
Kyle Larson,202,206,5
"Martin Truex, Jr.",207,209,3
William Byron,210,267,58
