driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
Joey Logano,2,3,1,1,18,3,6,53,47,37,69.8,49,310,99.4,107,34.3,312,136.6
Ryan Blaney,17,2,2,1,17,4,16,64,48,54,84.4,23,311,99.7,12,3.8,312,117.9
William Byron,8,4,3,1,12,4,-1,40,41,30,75.0,15,312,100.0,19,6.1,312,116.7
Kyle Larson,4,8,4,1,15,7,-2,55,57,41,74.5,9,312,100.0,13,4.2,312,107.0
Christopher Bell,7,1,5,1,17,3,-1,48,49,32,66.7,42,310,99.4,143,45.8,312,132.7
Tyler Reddick,10,10,6,4,16,8,6,66,60,48,72.7,7,312,100.0,0,0.0,312,104.1
Bubba Wallace,29,11,7,6,29,12,20,84,64,36,42.9,6,241,77.2,0,0.0,312,94.4
Chase Elliott,5,5,8,1,13,6,-7,32,39,25,78.1,10,312,100.0,7,2.2,312,105.7
Chris Buescher,24,7,9,5,24,11,9,84,75,39,46.4,9,264,84.6,0,0.0,312,93.6
Daniel Suarez,34,14,10,4,34,15,22,105,83,24,22.9,0,163,52.2,0,0.0,312,84.7
Denny Hamlin,14,6,11,2,22,10,5,104,99,66,63.5,14,278,89.1,0,0.0,312,93.4
Noah Gragson,21,16,12,10,26,16,3,92,89,18,19.6,0,126,40.4,0,0.0,312,78.5
Austin Cindric,11,13,13,4,20,13,7,94,87,50,53.2,3,260,83.3,0,0.0,312,85.5
Alex Bowman,16,17,14,1,23,15,-6,104,110,54,51.9,3,183,58.7,1,0.3,312,78.6
Brad Keselowski,27,15,15,10,30,19,12,126,114,30,23.8,5,112,35.9,0,0.0,312,74.3
Harrison Burton,9,19,16,8,25,19,-6,80,86,11,13.8,1,45,14.4,0,0.0,312,72.6
Martin Truex Jr,1,9,17,1,18,9,-13,57,70,30,52.6,12,259,83.0,9,2.9,312,91.2
Carson Hocevar,15,12,18,2,18,12,1,98,97,62,63.3,4,250,80.1,0,0.0,312,81.6
Ross Chastain,3,18,19,3,23,16,-15,74,89,23,31.1,1,119,38.1,0,0.0,312,73.2
Todd Gilliland,32,33,20,1,33,22,-1,99,100,13,13.1,4,41,13.2,1,0.3,311,56.6
Kyle Busch,25,23,21,13,32,22,11,91,80,6,6.6,0,53,17.0,0,0.0,311,65.0
Erik Jones,19,27,22,17,34,25,8,90,82,0,0.0,2,0,0.0,0,0.0,311,54.1
Daniel Hemric,22,30,23,6,34,27,-2,92,94,9,9.8,3,18,5.8,0,0.0,311,48.4
Josh Berry,39,26,24,20,39,27,16,87,71,0,0.0,1,0,0.0,0,0.0,311,49.9
Derek Kraus,26,35,25,25,36,32,-5,49,54,0,0.0,2,0,0.0,0,0.0,311,42.0
Jimmie Johnson,23,28,26,20,33,26,0,80,80,0,0.0,0,0,0.0,0,0.0,310,52.2
Austin Dillon,36,24,27,19,36,27,1,80,79,0,0.0,0,0,0.0,0,0.0,310,46.0
Justin Haley,13,32,28,11,36,27,-23,56,79,8,14.3,3,14,4.5,0,0.0,310,59.4
Chase Briscoe,12,31,29,12,36,28,-21,73,94,4,5.5,9,0,0.0,0,0.0,310,51.9
John H. Nemechek,18,21,30,13,31,21,-7,85,92,10,11.8,3,39,12.6,0,0.0,310,59.7
Michael McDowell,35,34,31,28,37,33,0,47,47,0,0.0,21,0,0.0,0,0.0,309,40.0
Corey LaJoie,20,29,32,17,35,30,-4,67,71,0,0.0,6,0,0.0,0,0.0,309,42.2
Ricky Stenhouse Jr,30,25,33,1,33,26,-6,88,94,10,11.4,4,35,11.3,0,0.0,309,46.9
Kaz Grala,31,36,34,31,37,35,-3,23,26,0,0.0,0,0,0.0,0,0.0,308,32.7
J.J. Yeley,37,37,35,34,38,36,0,12,12,0,0.0,0,0,0.0,0,0.0,306,30.3
Chad Finchum,38,38,36,36,39,38,-1,2,3,0,0.0,0,0,0.0,0,0.0,302,28.3
Ryan Preece,33,20,37,18,39,28,-6,70,76,0,0.0,2,0,0.0,0,0.0,302,48.5
Jeb Burton,40,39,38,38,40,39,1,2,1,0,0.0,0,0,0.0,0,0.0,294,25.8
Zane Smith,28,22,39,20,34,29,0,65,65,0,0.0,0,0,0.0,0,0.0,247,45.0
Ty Gibbs,6,40,40,6,19,40,-13,1,14,1,100.0,0,1,100.0,0,0.0,1,23.2
