Rank,Driver,Wins,Points
1,Chase Elliott,4,821
2,Ross Chastain,2,692
3,Joey Logano,2,637
4,William Byron,2,586
5,Tyler Reddick,2,549
6,Denny Hamlin,2,471
7,Kyle Larson,1,667
8,Christopher Bell,1,640
9,Kyle Busch,1,633
10,Alex Bowman,1,541
11,Daniel Suarez,1,535
12,Austin Cindric,1,530
13,Chase Briscoe,1,515
14,Kurt Busch,1,485
15,Ryan Blaney,0,696
16,Martin Truex Jr,0,671
