Rank,Driver,Points,Diff
1,Chase Elliott,821,
2,Ryan Blaney,696,-125
3,Ross Chastain,692,-129
4,Martin Truex Jr,671,-150
5,Kyle Larson,667,-154
6,Christopher Bell,640,-181
7,Joey Logano,637,-184
8,Kyle Busch,633,-188
9,William Byron,586,-235
10,Kevin Harvick,575,-246
11,Tyler Reddick,549,-272
12,Alex Bowman,541,-280
13,Daniel Suarez,535,-286
14,Austin Cindric,530,-291
15,Chase Briscoe,515,-306
15,Aric Almirola,515,-306
17,Erik Jones,496,-325
18,Kurt Busch,485,-336
19,Denny Hamlin,471,-350
20,Bubba Wallace,458,-363
21,Austin Dillon,455,-366
