Leader,From Lap,To Lap,# Of Laps
Chase Elliott,1,27,27
Kyle Busch,28,30,3
Denny Hamlin,31,83,53
Kyle Busch,84,86,3
Joey Logano,87,87,1
Denny Hamlin,88,91,4
Chase Elliott,92,118,27
Ryan Blaney,119,119,1
Matt DiBenedetto,120,120,1
Brad Keselowski,121,122,2
William Byron,123,134,12
Chris Buescher,135,144,10
Chase Elliott,145,163,19
Denny Hamlin,164,166,3
Alex Bowman,167,171,5
Denny Hamlin,172,232,61
Matt DiBenedetto,233,234,2
Kurt Busch,235,237,3
Matt DiBenedetto,238,242,5
Kurt Busch,243,268,26
