Rank,Driver,Points,Diff
1,Kevin Harvick,3104,
2,Denny Hamlin,3101,-3
3,Brad Keselowski,3059,-45
4,Martin Truex Jr,3058,-46
5,Joey Logano,3054,-50
6,Chase Elliott,3053,-51
7,Alex Bowman,3052,-52
8,Kyle Busch,3043,-61
9,Kurt Busch,3041,-63
10,Clint Bowyer,3032,-72
11,Aric Almirola,3025,-79
12,Austin Dillon,3020,-84
13,Ryan Blaney,2098,-1006
14,Matt DiBenedetto,2092,-1012
15,Cole Custer,2088,-1016
16,William Byron,2075,-1029
17,Jimmie Johnson,746,-2358
18,Erik Jones,710,-2394
19,Tyler Reddick,653,-2451
20,Chris Buescher,558,-2546
21,Christopher Bell,539,-2565
