Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,1,45,Tyler Reddick,The Beast Killer Sunrise   (23XI Racing),Toyota,267,running,97,57,6
2,20,12,Ryan Blaney,MenardsRichmond Water Heaters   (Roger Penske),Ford,267,running,47,48,0
3,4,11,Denny Hamlin,Mavis Tire   (Joe Gibbs),Toyota,267,running,21,48,1
4,3,20,Christopher Bell,Rheem   (Joe Gibbs),Toyota,267,running,3,46,0
5,7,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,267,running,81,49,0
6,25,24,William Byron,Valvoline   (Rick Hendrick),Chevrolet,267,running,0,39,0
7,11,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,267,running,0,32,0
8,32,16,A.J. Allmendinger,Worldwide Express   (Matthew Kaulig),Chevrolet,267,running,0,0,0
9,15,77,Carson Hocevar,Zeigler Auto Group/LoJack   (Spire Motorsports),Chevrolet,267,running,0,37,0
10,35,41,Ryan Preece,Bonanza Cabernet   (Stewart Haas Racing),Ford,267,running,0,29,0
11,12,4,Josh Berry,Panini Prizm   (Stewart Haas Racing),Ford,267,running,0,26,0
12,13,14,Chase Briscoe,Zep   (Stewart Haas Racing),Ford,267,running,0,25,0
13,2,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,267,running,1,24,0
14,24,34,Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,267,running,0,23,0
15,21,17,Chris Buescher,Fastenal   (Jack Roush),Ford,267,running,0,22,0
16,23,99,Daniel Suarez,FreewayFranchise.com   (Trackhouse Racing),Chevrolet,267,running,0,21,0
17,18,6,Brad Keselowski,Consumer Cellular   (Jack Roush),Ford,267,running,8,20,0
18,8,23,Bubba Wallace,McDonald's/RMHC   (23XI Racing),Toyota,267,running,2,28,0
19,16,10,Noah Gragson,Beef a Roo   (Stewart Haas Racing),Ford,267,running,0,18,0
20,31,38,Todd Gilliland,gener8tor   (Bob Jenkins),Ford,267,running,1,17,0
21,5,47,Ricky Stenhouse Jr,Kroger/vitaminwater   (JTG-Daugherty Racing),Chevrolet,267,running,0,16,0
22,28,43,Erik Jones,Dollar Tree   (Legacy Motor Club),Toyota,267,running,0,15,0
23,6,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,267,running,0,19,0
24,34,21,Harrison Burton,DEX Imaging   (Wood Brothers),Ford,267,running,0,13,0
25,30,3,Austin Dillon,Bass Pro Shops/Tracker Boats   (Richard Childress),Chevrolet,267,running,0,12,0
26,29,42,John H. Nemechek,Family Dollar   (Legacy Motor Club),Toyota,267,running,0,11,0
27,36,2,Austin Cindric,Freightliner   (Roger Penske),Ford,267,running,0,10,0
28,26,22,Joey Logano,Hunt Brothers Pizza   (Roger Penske),Ford,267,running,0,9,0
29,9,31,Daniel Hemric,Cirkul   (Matthew Kaulig),Chevrolet,267,running,0,8,0
30,19,71,Zane Smith,Wellcare   (Spire Motorsports),Chevrolet,267,running,0,7,0
31,17,8,Kyle Busch,Rebel Bourbon   (Richard Childress),Chevrolet,267,running,5,6,0
32,27,15,Kaz Grala,MEAT N' BONE   (Rick Ware),Ford,267,running,0,5,0
33,22,1,Ross Chastain,Kubota   (Trackhouse Racing),Chevrolet,267,running,0,4,0
34,10,7,Justin Haley,Chili's Catch-a-Rita   (Spire Motorsports),Chevrolet,266,running,1,3,0
35,33,51,Corey LaJoie,Schluter Systems   (Rick Ware),Ford,266,running,0,2,0
36,14,54,Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,261,running,0,1,0
37,38,66,Chad Finchum,GreenLightPP.com   (Carl Long),Ford,258,running,0,0,0
38,37,44,J.J. Yeley,Johnathan Cohen,Chevrolet,223,crash,0,0,0
