Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,1,1,,
yellow_flag,2,5,4,"#7,47 accident turn 3",none
green_flag,6,48,43,,
yellow_flag,49,53,5,debris turn 4,#21
green_flag,54,81,28,,
yellow_flag,82,87,6,end of stage 1,#15
green_flag,88,166,79,,
yellow_flag,167,172,6,end of stage 2,#51
green_flag,173,187,15,,
yellow_flag,188,191,4,"#7,54 accident turn 3",#38
green_flag,192,255,64,,
yellow_flag,256,260,5,#5 spun turn 4,#3
green_flag,261,267,7,,
Percent of race run under caution: 11.2%             Average green flag run: 33.9 laps
