Leader,From Lap,To Lap,# Of Laps
Tyler Reddick,1,5,5
Christopher Bell,6,6,1
Tyler Reddick,7,32,26
Kyle Larson,33,33,1
Brad Keselowski,34,41,8
Todd Gilliland,42,42,1
Justin Haley,43,43,1
Chase Elliott,44,49,6
Tyler Reddick,50,50,1
Kyle Busch,51,53,3
Bubba Wallace,54,55,2
Tyler Reddick,56,83,28
Ryan Blaney,84,87,4
Chase Elliott,88,115,28
Denny Hamlin,116,122,7
Tyler Reddick,123,124,2
Kyle Busch,125,125,1
Ryan Blaney,126,127,2
Chase Elliott,128,159,32
Denny Hamlin,160,168,9
Chase Elliott,169,171,3
Christopher Bell,172,173,2
Chase Elliott,174,174,1
Ryan Blaney,175,176,2
Chase Elliott,177,187,11
Ryan Blaney,188,188,1
Kyle Busch,189,189,1
Ryan Blaney,190,220,31
Tyler Reddick,221,251,31
Ryan Blaney,252,257,6
Tyler Reddick,258,260,3
Denny Hamlin,261,265,5
Ryan Blaney,266,266,1
Tyler Reddick,267,267,1
