Rank,Driver,Points,Diff
1,Christopher Bell,4132,
2,William Byron,4110,-22
3,Kyle Larson,4103,-29
4,Tyler Reddick,4098,-34
5,Denny Hamlin,4092,-40
6,Ryan Blaney,4072,-60
7,Joey Logano,4070,-62
8,Chase Elliott,4067,-65
9,Alex Bowman,2264,-1868
10,Martin Truex Jr,2213,-1919
11,Austin Cindric,2189,-1943
12,Daniel Suarez,2185,-1947
13,Ty Gibbs,2163,-1969
14,Brad Keselowski,2147,-1985
15,Chase Briscoe,2146,-1986
16,Harrison Burton,2100,-2032
17,Chris Buescher,890,-3242
18,Bubba Wallace,879,-3253
19,Ross Chastain,855,-3277
20,Kyle Busch,741,-3391
