Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,21,21,,
yellow_flag,22,24,3,competition,#53
green_flag,25,51,27,,
yellow_flag,52,55,4,end of stage 1,#66
green_flag,56,101,46,,
yellow_flag,102,105,4,end of stage 2,#15
green_flag,106,143,38,,
yellow_flag,144,147,4,"#51,62 accident turn 3",#77
green_flag,148,152,5,,
yellow_flag,153,155,3,"#1,8,18,6,19,20,3,47,34,37 accident turn 4",#00
green_flag,156,159,4,,
yellow_flag,160,162,3,"#22,42,95,8,41,21,88,96,38,48,43 accident turn 1",#34
green_flag,163,164,2,,
Percent of race run under caution: 12.8%             Average green flag run: 20.4 laps
