Leader,From Lap,To Lap,# Of Laps
"Martin Truex, Jr.",1,1,1
Kevin Harvick,2,5,4
William Byron,6,6,1
Kevin Harvick,7,7,1
William Byron,8,21,14
Alex Bowman,22,22,1
Aric Almirola,23,23,1
William Byron,24,28,5
Erik Jones,29,33,5
William Byron,34,35,2
Joey Logano,36,51,16
Ryan Blaney,52,52,1
Brad Keselowski,53,53,1
Christopher Bell,54,55,2
Erik Jones,56,65,10
Kyle Busch,66,71,6
Daniel Suarez,72,90,19
Joey Logano,91,101,11
"Martin Truex, Jr.",102,102,1
Kevin Harvick,103,103,1
Joey Logano,104,105,2
"Martin Truex, Jr.",106,111,6
Joey Logano,112,112,1
"Martin Truex, Jr.",113,118,6
Kyle Busch,119,125,7
Joey Logano,126,130,5
Michael McDowell,131,132,2
Kyle Busch,133,150,18
Kurt Busch,151,151,1
Denny Hamlin,152,155,4
Tyler Reddick,156,156,1
Denny Hamlin,157,157,1
Joey Logano,158,158,1
Denny Hamlin,159,162,4
William Byron,163,164,2
