Rank,Driver,Points,Diff
1,Kevin Harvick,2057,
2,Denny Hamlin,2047,-10
3,Brad Keselowski,2029,-28
4,Joey Logano,2022,-35
5,Chase Elliott,2020,-37
6,Martin Truex Jr,2014,-43
7,Ryan Blaney,2013,-44
8,Alex Bowman,2009,-48
9,William Byron,2007,-50
10,Austin Dillon,2005,-52
10,Cole Custer,2005,-52
10,Aric Almirola,2005,-52
13,Clint Bowyer,2004,-53
14,Kyle Busch,2003,-54
15,Kurt Busch,2001,-56
16,Matt DiBenedetto,2000,-57
17,Jimmie Johnson,660,-1397
18,Erik Jones,593,-1464
19,Tyler Reddick,579,-1478
20,Christopher Bell,486,-1571
21,Chris Buescher,477,-1580
