Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,75,75,,
yellow_flag,76,78,3,debris turn 4,#21
green_flag,79,81,3,,
yellow_flag,82,86,5,end of stage 1,#47
green_flag,87,116,30,,
yellow_flag,117,120,4,"#42,66 accident turn 4",#88
green_flag,121,161,41,,
yellow_flag,162,166,5,end of stage 2,#3
green_flag,167,253,87,,
yellow_flag,254,258,5,debris turn 2,#21
green_flag,259,264,6,,
yellow_flag,265,269,5,"#36,43 accident turn 2",#47
green_flag,270,270,1,,
yellow_flag,271,275,5,"#2,3,22,41,8 accident frontstretch",#13
green_flag,276,277,2,,
Percent of race run under caution: 11.6%             Average green flag run: 30.6 laps
