Rank,Driver,Points,Diff
1,Kyle Busch,4046,
2,Martin Truex Jr,4042,-4
3,Denny Hamlin,4037,-9
4,Joey Logano,4030,-16
5,Kevin Harvick,4028,-18
6,Chase Elliott,4024,-22
7,Kyle Larson,4011,-35
8,Ryan Blaney,4009,-37
9,Brad Keselowski,2229,-1817
10,William Byron,2181,-1865
10,Clint Bowyer,2181,-1865
12,Alex Bowman,2165,-1881
13,Aric Almirola,2148,-1898
14,Kurt Busch,2130,-1916
15,Ryan Newman,2121,-1925
16,Erik Jones,2072,-1974
17,Jimmie Johnson,772,-3274
18,Daniel Suarez,757,-3289
19,Paul Menard,699,-3347
20,Chris Buescher,644,-3402
21,Austin Dillon,623,-3423
