Leader,From Lap,To Lap,# Of Laps
Ross Chastain,1,42,42
William Byron,43,43,1
Chase Elliott,44,44,1
Alex Bowman,45,45,1
Daniel Suarez,46,46,1
Ty Dillon,47,50,4
Ross Chastain,51,60,10
Tyler Reddick,61,93,33
William Byron,94,97,4
Ross Chastain,98,99,2
Martin Truex Jr,100,136,37
Denny Hamlin,137,141,5
Martin Truex Jr,142,153,12
Denny Hamlin,154,155,2
Martin Truex Jr,156,156,1
Denny Hamlin,157,230,74
Ross Chastain,231,241,11
Christopher Bell,242,244,3
Brad Keselowski,245,246,2
Kyle Busch,247,258,12
Alex Bowman,259,266,8
Ross Chastain,267,300,34
