Rank,Driver,Points,Diff
1,Martin Truex Jr,576,
2,Ross Chastain,558,-18
3,William Byron,557,-19
4,Christopher Bell,531,-45
5,Kyle Busch,528,-48
6,Kevin Harvick,515,-61
7,Denny Hamlin,513,-63
8,Ryan Blaney,502,-74
9,Kyle Larson,475,-101
10,Joey Logano,462,-114
11,Brad Keselowski,450,-126
12,Chris Buescher,449,-127
13,Tyler Reddick,437,-139
14,Ricky Stenhouse Jr,415,-161
15,Bubba Wallace,381,-195
16,Daniel Suarez,353,-223
17,Alex Bowman,351,-225
18,Ty Gibbs,343,-233
19,A.J. Allmendinger,329,-247
20,Michael McDowell,326,-250
21,Corey LaJoie,308,-268
