Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,16,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,400,running,98,51,5
2,4,5,Kyle Larson,Nations Guard   (Rick Hendrick),Chevrolet,400,running,263,55,2
3,8,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,400,running,0,50,0
4,3,24,William Byron,Axalta   (Rick Hendrick),Chevrolet,400,running,21,45,0
5,9,22,Joey Logano,Shell  / Pennzoil   (Roger Penske),Ford,400,running,0,36,0
6,5,4,Kevin Harvick,Hunt Brothers Pizza   (Stewart Haas Racing),Ford,400,running,0,42,0
7,2,11,Denny Hamlin,FedEx Office   (Joe Gibbs),Toyota,400,running,2,45,0
8,12,8,Tyler Reddick,CAT Linkage Parts   (Richard Childress),Chevrolet,400,running,0,30,0
9,24,99,Daniel Suarez,CommScope   (Trackhouse Racing),Chevrolet,400,running,0,28,0
10,30,41,Cole Custer,HaasTooling.com   (Stewart Haas Racing),Ford,400,running,0,27,0
11,22,23,Bubba Wallace,McDonald's   (23XI Racing),Toyota,400,running,0,26,0
12,7,12,Ryan Blaney,Menards / Cardell Cabinetry   (Roger Penske),Ford,400,running,0,33,0
13,28,1,Kurt Busch,Yorktel / Caregility   (Chip Ganassi),Chevrolet,400,running,0,28,0
14,14,3,Austin Dillon,Huk Performance Fishing   (Richard Childress),Chevrolet,400,running,0,25,0
15,19,42,Ross Chastain,Moose Fraternity   (Chip Ganassi),Chevrolet,400,running,0,22,0
16,15,2,Brad Keselowski,Wurth / UTI   (Roger Penske),Ford,400,running,0,25,0
17,10,17,Chris Buescher,Fastenal   (Jack Roush),Ford,400,running,0,22,0
18,25,37,Ryan Preece,Thomas' English Muffins   (JTG-Daugherty Racing),Chevrolet,399,running,0,19,0
19,1,19,Martin Truex Jr,Reser's Fine Foods   (Joe Gibbs),Toyota,399,running,16,18,0
20,20,47,Ricky Stenhouse Jr,Bush's Beans   (JTG-Daugherty Racing),Chevrolet,399,running,0,17,0
21,11,20,Christopher Bell,Stanley Tools   (Joe Gibbs),Toyota,396,running,0,16,0
22,23,43,Erik Jones,Medallion Bank   (Richard Petty Motorsports),Chevrolet,396,running,0,15,0
23,13,6,Ryan Newman,Guaranteed Rate   (Jack Roush),Ford,396,running,0,14,0
24,18,21,Matt DiBenedetto,Motorcraft / Quick Lane   (Wood Brothers),Ford,395,running,0,13,0
25,21,34,Michael McDowell,Resolve Finance   (Bob Jenkins),Ford,395,running,0,12,0
26,26,7,Corey LaJoie,Drydene Performance Products   (Spire Motorsports),Chevrolet,393,running,0,11,0
27,6,18,Kyle Busch,M&M's Mix   (Joe Gibbs),Toyota,393,running,0,10,0
28,27,38,Anthony Alfredo,Speedy Cash   (Bob Jenkins),Ford,392,running,0,9,0
29,35,00,Quin Houff,Reliant / Verkada   (StarCom Racing),Chevrolet,388,running,0,8,0
30,29,77,Josh Berry,Diamond Creek Water   (Spire Motorsports),Chevrolet,388,running,0,0,0
31,34,51,Cody Ware,Nurtec ODT   (Rick Ware),Chevrolet,387,running,0,0,0
32,36,53,Garrett Smithley,RichMar Florists   (Rick Ware),Chevrolet,383,running,0,0,0
33,33,15,James Davison,Smart Sanitizer   (Rick Ware),Chevrolet,382,running,0,4,0
34,37,52,Josh Bilicki,Bullshooter.com   (Rick Ware),Ford,381,running,0,3,0
35,17,14,Chase Briscoe,Ford Performance Racing School   (Stewart Haas Racing),Ford,335,running,0,2,0
36,31,78,B.J. McLeod,Surface Sunscreen / Koolbox Ice   (B.J. McLeod),Ford,334,engine,0,0,0
37,32,10,Aric Almirola,Smithfield / Weis Markets   (Stewart Haas Racing),Ford,300,crash,0,1,0
