Rank,Driver,Wins,Points
1,Martin Truex Jr,3,472
2,Alex Bowman,2,332
3,William Byron,1,473
4,Joey Logano,1,442
5,Kyle Larson,1,440
6,Ryan Blaney,1,438
7,Brad Keselowski,1,404
8,Kyle Busch,1,383
9,Christopher Bell,1,336
10,Michael McDowell,1,290
11,Denny Hamlin,0,574
12,Chase Elliott,0,432
13,Kevin Harvick,0,427
14,Austin Dillon,0,341
15,Chris Buescher,0,309
16,Tyler Reddick,0,298
