Rank,Driver,Points,Diff
1,Denny Hamlin,574,
2,William Byron,473,-101
3,Martin Truex Jr,472,-102
4,Joey Logano,442,-132
5,Kyle Larson,440,-134
6,Ryan Blaney,438,-136
7,Chase Elliott,432,-142
8,Kevin Harvick,427,-147
9,Brad Keselowski,404,-170
10,Kyle Busch,383,-191
11,Austin Dillon,341,-233
12,Christopher Bell,336,-238
13,Alex Bowman,332,-242
14,Chris Buescher,309,-265
15,Tyler Reddick,298,-276
16,Michael McDowell,290,-284
17,Matt DiBenedetto,281,-293
18,Kurt Busch,268,-306
19,Ricky Stenhouse Jr,266,-308
20,Ryan Newman,260,-314
21,Bubba Wallace,249,-325
