Rank,Driver,Points,Diff
1,Kyle Larson,5000,
1,Martin Truex Jr,5000,0
1,Chase Elliott,5000,0
1,Denny Hamlin,5000,0
5,Brad Keselowski,2323,-2677
6,Kevin Harvick,2318,-2682
7,Ryan Blaney,2308,-2692
7,Joey Logano,2308,-2692
9,Kyle Busch,2285,-2715
10,William Byron,2280,-2720
11,Kurt Busch,2274,-2726
12,Christopher Bell,2251,-2749
13,Tyler Reddick,2232,-2768
14,Alex Bowman,2221,-2779
15,Aric Almirola,2184,-2816
16,Michael McDowell,2139,-2861
17,Austin Dillon,913,-4087
18,Chris Buescher,759,-4241
19,Matt DiBenedetto,749,-4251
20,Ross Chastain,706,-4294
21,Bubba Wallace,698,-4302
