Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,61,61,,
yellow_flag,62,67,6,competition,#37
green_flag,68,72,5,,
yellow_flag,73,76,4,"#6,34,99 accident turn 4",#41
green_flag,77,131,55,,
yellow_flag,132,140,9,end of stage 1,#41
green_flag,141,197,57,,
yellow_flag,198,203,6,#3 accident turn 2,#14
green_flag,204,261,58,,
yellow_flag,262,269,8,end of stage 2,#8
green_flag,270,310,41,,
yellow_flag,311,319,9,"#7,34,52 accident turn 3",#3
green_flag,320,323,4,,
yellow_flag,324,329,6,"#00,52 accident turn 3",#41
green_flag,330,339,10,,
yellow_flag,340,345,6,"#6,41,42 accident turn 2",none
green_flag,346,358,13,,
yellow_flag,359,362,4,"#3,41 accident turn 4",#21
green_flag,363,378,16,,
yellow_flag,379,384,6,#99 spun turn 2,#38
green_flag,385,436,52,,
yellow_flag,437,443,7,#3 accident turn 2,#8
green_flag,444,455,12,,
yellow_flag,456,460,5,"#2,9 accident turn 3",#41
green_flag,461,461,1,,
yellow_flag,462,466,5,"#5,47 accident turn 4",none
green_flag,467,472,6,,
yellow_flag,473,477,5,#37 accident turn 2,#7
green_flag,478,494,17,,
yellow_flag,495,499,5,"#11,48 accident turn 3",#23
green_flag,500,501,2,,
Percent of race run under caution: 18.2%             Average green flag run: 25.6 laps
