Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,26,26,,
yellow_flag,27,30,4,competition,#52
green_flag,31,39,9,,
yellow_flag,40,43,4,#28 spun turn 4,none
green_flag,44,60,17,,
yellow_flag,61,66,6,"#2,11,14,22,23,47 accident backstretch",#7
green_flag,67,104,38,,
yellow_flag,105,109,5,fluid backstretch,#42
green_flag,110,119,10,,
yellow_flag,120,126,7,"#9,11,19,24,48 accident frontstretch",none
green_flag,127,172,46,,
yellow_flag,173,176,4,#00 accident turn 2,#78
green_flag,177,185,9,,
yellow_flag,186,189,4,debris frontstretch,#6
green_flag,190,191,2,,
Percent of race run under caution: 17.8%             Average green flag run: 19.6 laps
