Rank,Driver,Wins,Points
1,Martin Truex Jr,2,359
2,Joey Logano,1,353
3,William Byron,1,351
4,Ryan Blaney,1,346
5,Brad Keselowski,1,318
6,Kyle Larson,1,300
7,Christopher Bell,1,280
8,Michael McDowell,1,244
9,Alex Bowman,1,241
10,Denny Hamlin,0,446
11,Kevin Harvick,0,308
12,Chase Elliott,0,306
13,Kyle Busch,0,271
14,Austin Dillon,0,268
15,Chris Buescher,0,229
15,Ricky Stenhouse Jr,0,229
