Leader,From Lap,To Lap,# Of Laps
William Byron,1,1,1
Joey Logano,2,11,10
Bubba Wallace,12,14,3
Kevin Harvick,15,18,4
Bubba Wallace,19,21,3
Kyle Busch,22,26,5
Chase Briscoe,27,27,1
Denny Hamlin,28,48,21
Ryan Blaney,49,50,2
Matt DiBenedetto,51,54,4
Ryan Preece,55,56,2
Matt DiBenedetto,57,62,6
Ryan Newman,63,63,1
Chase Elliott,64,66,3
Denny Hamlin,67,68,2
Matt DiBenedetto,69,71,3
William Byron,72,72,1
Denny Hamlin,73,92,20
Kyle Busch,93,93,1
Ryan Preece,94,100,7
William Byron,101,110,10
Matt DiBenedetto,111,111,1
Bubba Wallace,112,121,10
Ryan Newman,122,122,1
Ryan Blaney,123,131,9
Aric Almirola,132,147,16
Ross Chastain,148,150,3
Kevin Harvick,151,152,2
Ross Chastain,153,153,1
Kevin Harvick,154,159,6
Christopher Bell,160,161,2
Ross Chastain,162,169,8
Erik Jones,170,176,7
Matt DiBenedetto,177,190,14
Brad Keselowski,191,191,1
