Rank,Driver,Points,Diff
1,Denny Hamlin,446,
2,Martin Truex Jr,359,-87
3,Joey Logano,353,-93
4,William Byron,351,-95
5,Ryan Blaney,346,-100
6,Brad Keselowski,318,-128
7,Kevin Harvick,308,-138
8,Chase Elliott,306,-140
9,Kyle Larson,300,-146
10,Christopher Bell,280,-166
11,Kyle Busch,271,-175
12,Austin Dillon,268,-178
13,Michael McDowell,244,-202
14,Alex Bowman,241,-205
15,Ricky Stenhouse Jr,229,-217
15,Chris Buescher,229,-217
17,Matt DiBenedetto,217,-229
18,Kurt Busch,216,-230
19,Ryan Newman,198,-248
20,Bubba Wallace,196,-250
21,Ryan Preece,192,-254
