Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,2,2,,
yellow_flag,3,3,1,debris backstretch,none
green_flag,4,12,9,,
yellow_flag,13,13,1,debris turn 1,none
green_flag,14,17,4,,
yellow_flag,18,19,2,end of stage 1,none
green_flag,20,27,8,,
yellow_flag,28,29,2,"#12,42 accident turn 6",none
green_flag,30,35,6,,
yellow_flag,36,37,2,end of stage 2,none
green_flag,38,56,19,,
yellow_flag,57,58,2,rain,#66
green_flag,59,59,1,,
yellow_flag,60,60,1,#8 accident turn 3,#38
green_flag,61,61,1,,
yellow_flag,62,62,1,"#7,9 accident turn 5",#78
green_flag,63,70,8,,
Percent of race run under caution: 17.1%             Average green flag run: 6.4 laps
