Rank,Driver,Wins,Points
1,Christopher Bell,1,82
2,Michael McDowell,1,75
3,Denny Hamlin,0,104
4,Joey Logano,0,92
5,Kevin Harvick,0,83
6,Chase Elliott,0,79
7,Ryan Preece,0,74
8,Kurt Busch,0,65
9,Austin Dillon,0,64
9,Brad Keselowski,0,64
11,Cole Custer,0,54
12,Kyle Larson,0,53
13,Bubba Wallace,0,52
14,Martin Truex Jr,0,47
15,Corey LaJoie,0,38
15,Ricky Stenhouse Jr,0,38
