Rank,Driver,Points,Diff
1,Denny Hamlin,104,
2,Joey Logano,92,-12
3,Kevin Harvick,83,-21
4,Christopher Bell,82,-22
5,Chase Elliott,79,-25
6,Michael McDowell,75,-29
7,Ryan Preece,74,-30
8,Kurt Busch,65,-39
9,Austin Dillon,64,-40
9,Brad Keselowski,64,-40
11,Cole Custer,54,-50
12,Kyle Larson,53,-51
13,Bubba Wallace,52,-52
14,Martin Truex Jr,47,-57
15,Corey LaJoie,38,-66
15,Ricky Stenhouse Jr,38,-66
17,Kyle Busch,35,-69
18,Chris Buescher,34,-70
18,Ryan Blaney,34,-70
20,Ross Chastain,33,-71
20,Aric Almirola,33,-71
