Rank,Driver,Wins,Points
1,Kyle Busch,4,682
2,Martin Truex Jr,4,597
3,Brad Keselowski,3,613
4,Joey Logano,2,700
5,Denny Hamlin,2,588
6,Chase Elliott,1,585
7,Alex Bowman,1,534
8,Kevin Harvick,0,625
9,Kurt Busch,0,564
10,Aric Almirola,0,512
11,Ryan Blaney,0,508
12,William Byron,0,498
13,Jimmie Johnson,0,474
14,Kyle Larson,0,473
15,Clint Bowyer,0,444
16,Ryan Newman,0,443
