Rank,Driver,Points,Diff
1,Joey Logano,700,
2,Kyle Busch,682,-18
3,Kevin Harvick,625,-75
4,Brad Keselowski,613,-87
5,Martin Truex Jr,597,-103
6,Denny Hamlin,588,-112
7,Chase Elliott,585,-115
8,Kurt Busch,564,-136
9,Alex Bowman,534,-166
10,Aric Almirola,512,-188
11,Ryan Blaney,508,-192
12,William Byron,498,-202
13,Jimmie Johnson,474,-226
14,Kyle Larson,473,-227
15,Clint Bowyer,444,-256
16,Ryan Newman,443,-257
17,Daniel Suarez,440,-260
18,Erik Jones,430,-270
19,Ricky Stenhouse Jr,398,-302
20,Paul Menard,390,-310
21,Chris Buescher,369,-331
