Leader,From Lap,To Lap,# Of Laps
Joey Logano,1,1,1
Kyle Busch,2,2,1
Joey Logano,3,35,33
Kyle Busch,36,37,2
Kevin Harvick,38,49,12
Joey Logano,50,51,2
Ryan Preece,52,52,1
Chase Elliott,53,55,3
"Ricky Stenhouse, Jr.",56,57,2
Austin Dillon,58,60,3
Clint Bowyer,61,62,2
Austin Dillon,63,63,1
Ryan Blaney,64,64,1
Austin Dillon,65,96,32
Clint Bowyer,97,97,1
Austin Dillon,98,102,5
Chris Buescher,103,103,1
Joey Logano,104,105,2
Austin Dillon,106,109,4
Joey Logano,110,111,2
Paul Menard,112,112,1
Denny Hamlin,113,117,5
Austin Dillon,118,118,1
Kurt Busch,119,126,8
Justin Haley,127,127,1
