Rank,Driver,Points,Diff
1,Denny Hamlin,534,
2,Kyle Larson,513,-21
3,Chase Elliott,507,-27
4,Martin Truex Jr,490,-44
5,William Byron,488,-46
6,Tyler Reddick,473,-61
7,Ty Gibbs,465,-69
8,Christopher Bell,437,-97
8,Brad Keselowski,437,-97
10,Alex Bowman,417,-117
10,Ross Chastain,417,-117
12,Ryan Blaney,405,-129
13,Bubba Wallace,371,-163
14,Chris Buescher,368,-166
15,Chase Briscoe,358,-176
16,Joey Logano,354,-180
17,Kyle Busch,348,-186
18,Austin Cindric,305,-229
19,Daniel Suarez,290,-244
20,Josh Berry,264,-270
21,Carson Hocevar,259,-275
