Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,26,26,,
yellow_flag,27,30,4,competition,#27
green_flag,31,81,51,,
yellow_flag,82,86,5,end of stage 1,#32
green_flag,87,144,58,,
yellow_flag,145,149,5,"#20,42 accident turn 4",#8
green_flag,150,161,12,,
yellow_flag,162,167,6,end of stage 2,#17
green_flag,168,198,31,,
yellow_flag,199,205,7,fluid on track,#20
green_flag,206,221,16,,
yellow_flag,222,225,4,#8 accident turn 4,#13
green_flag,226,267,42,,
Percent of race run under caution: 11.6%             Average green flag run: 33.7 laps
