Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,2,22,Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,267,running,47,42,5
2,4,4,Kevin Harvick,Jimmy John's   (Stewart Haas Racing),Ford,267,running,85,48,0
3,6,88,Alex Bowman,ChevyGoods.com / Truck Hero   (Rick Hendrick),Chevrolet,267,running,0,46,0
4,8,2,Brad Keselowski,Discount Tire   (Roger Penske),Ford,267,running,6,47,0
5,20,18,Kyle Busch,M&M's Halloween Treat Town   (Joe Gibbs),Toyota,267,running,4,33,0
6,1,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,267,running,48,47,1
7,9,12,Ryan Blaney,Menards / Moen   (Roger Penske),Ford,267,running,0,45,0
8,10,24,William Byron,Hendrickcars.com   (Rick Hendrick),Chevrolet,267,running,3,29,0
9,5,19,Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs   (Joe Gibbs),Toyota,267,running,0,34,0
10,22,95,Christopher Bell,Germania Insurance   (Leavine Family Racing),Toyota,267,running,0,27,0
11,17,3,Austin Dillon,American Ethanol   (Richard Childress),Chevrolet,267,running,0,26,0
12,18,21,Matt DiBenedetto,Menards / Wrangler Riggs Workwear   (Wood Brothers),Ford,267,running,12,29,0
13,16,10,Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,267,running,0,24,0
14,13,41,Cole Custer,HaasTooling.com   (Stewart Haas Racing),Ford,267,running,0,23,0
15,7,11,Denny Hamlin,FedEx Freight   (Joe Gibbs),Toyota,267,running,58,40,1
16,23,47,Ricky Stenhouse Jr,NOS Energy Drink   (JTG-Daugherty Racing),Chevrolet,267,running,0,21,0
17,32,38,John H. Nemechek,Speedy Cash   (Bob Jenkins),Ford,267,running,0,20,0
18,24,43,Bubba Wallace,Cash App   (Richard Petty Motorsports),Chevrolet,267,running,0,19,0
19,26,34,Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,267,running,0,18,0
20,11,20,Erik Jones,Reser's Fine Foods   (Joe Gibbs),Toyota,267,running,0,23,0
21,21,17,Chris Buescher,Fastenal   (Jack Roush),Ford,267,running,0,16,0
22,28,6,Ryan Newman,Hy-Vee   (Jack Roush),Ford,267,running,1,15,0
23,29,32,Corey LaJoie,Plan B Sales Foundation   (Archie St. Hilaire),Ford,267,running,1,14,0
24,25,13,Ty Dillon,GEICO   (Germain Racing),Chevrolet,266,running,0,13,0
25,15,8,Tyler Reddick,Caterpillar   (Richard Childress),Chevrolet,266,running,0,12,0
26,12,14,Clint Bowyer,DeKalb / FFA   (Stewart Haas Racing),Ford,266,running,0,12,0
27,27,96,Daniel Suarez,GF Machining Solutions   (Gaunt Brothers),Toyota,265,running,0,10,0
28,35,15,Brennan Poole,Thriv5   (Rick Ware),Chevrolet,263,running,0,9,0
29,19,37,Ryan Preece,Kroger / Energizer / Hershey's / Hungry Jack   (JTG-Daugherty Racing),Chevrolet,262,running,0,8,0
30,34,27,J.J. Yeley,UBC Foundation   (Rick Ware),Chevrolet,261,running,0,0,0
31,14,48,Jimmie Johnson,Ally   (Rick Hendrick),Chevrolet,261,running,0,6,0
32,33,53,James Davison,America's Best Value Inn   (Rick Ware),Ford,258,running,0,5,0
33,31,00,Quin Houff,Creek Enterprises   (StarCom Racing),Chevrolet,258,running,0,4,0
34,37,66,Timmy Hill,CrashClaimsR.us / James Carter Attorney   (Carl Long),Toyota,256,running,0,0,0
35,39,7,Josh Bilicki,"Insurance King   (Tommy Baldwin, Jr.)",Chevrolet,254,running,0,0,0
36,36,77,Reed Sorenson,Marwin Sports   (Spire Motorsports),Chevrolet,250,running,0,1,0
37,38,51,Joey Gase,Page Construction   (Rick Ware),Ford,228,running,0,0,0
38,3,1,Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,197,engine,2,3,0
39,40,49,Chad Finchum,LasVegas.net   (Carl Long),Toyota,154,transmission,0,0,0
40,30,42,Matt Kenseth,Advent Health   (Chip Ganassi),Chevrolet,144,crash,0,1,0
