Rank,Driver,Points,Diff
1,Kevin Harvick,4115,
2,Denny Hamlin,4094,-21
3,Brad Keselowski,4082,-33
4,Chase Elliott,4074,-41
5,Joey Logano,4064,-51
6,Alex Bowman,4055,-60
7,Martin Truex Jr,4051,-64
8,Kurt Busch,4009,-106
9,Kyle Busch,2220,-1895
10,Austin Dillon,2212,-1903
11,Ryan Blaney,2205,-1910
12,William Byron,2184,-1931
13,Aric Almirola,2167,-1948
14,Clint Bowyer,2166,-1949
15,Matt DiBenedetto,2160,-1955
16,Cole Custer,2146,-1969
17,Erik Jones,809,-3306
18,Jimmie Johnson,784,-3331
19,Tyler Reddick,727,-3388
20,Chris Buescher,624,-3491
21,Christopher Bell,597,-3518
