Rank,Driver,Points,Diff
1,William Byron,3136,
2,Denny Hamlin,3108,-28
3,Christopher Bell,3080,-56
4,Ryan Blaney,3078,-58
5,Chris Buescher,3077,-59
6,Martin Truex Jr,3075,-61
7,Kyle Larson,3073,-63
8,Brad Keselowski,3060,-76
9,Tyler Reddick,3058,-78
10,Bubba Wallace,3051,-85
11,Ross Chastain,3050,-86
12,Kyle Busch,3034,-102
13,Ricky Stenhouse Jr,2111,-1025
13,Joey Logano,2111,-1025
15,Kevin Harvick,2103,-1033
15,Michael McDowell,2103,-1033
17,Chase Elliott,710,-2426
18,Daniel Suarez,675,-2461
19,Ty Gibbs,655,-2481
20,Alex Bowman,627,-2509
