Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,10,12,Ryan Blaney,MenardsPennzoil   (Roger Penske),Ford,188,running,8,50,6
2,8,24,William Byron,Axalta   (Rick Hendrick),Chevrolet,188,running,12,53,0
3,12,11,Denny Hamlin,Mavis Tires & Brakes   (Joe Gibbs),Toyota,188,running,3,34,0
4,36,7,Corey LaJoie,Gainbridge   (Spire Motorsports),Chevrolet,188,running,0,34,0
5,7,2,Austin Cindric,Discount Tire   (Roger Penske),Ford,188,running,15,37,0
6,30,31,Justin Haley,"Morris-Shea Bridge Co., Inc.   (Matthew Kaulig)",Chevrolet,188,running,1,35,0
7,23,9,Chase Elliott,Llumar   (Rick Hendrick),Chevrolet,188,running,8,43,0
8,19,41,Ryan Preece,Wonder Bread   (Stewart Haas Racing),Ford,188,running,8,31,0
9,6,36,Riley Herbst,Beast Unleashed White Haze   (Bob Jenkins),Ford,188,running,10,0,0
10,28,99,Daniel Suarez,Tootsies Orchid Lounge   (Trackhouse Racing),Chevrolet,188,running,0,32,0
11,34,13,Chandler Smith,"Quick Tie Products, Inc.   (Matthew Kaulig)",Chevrolet,188,running,0,0,0
12,17,38,Todd Gilliland,Georgia Peanuts   (Bob Jenkins),Ford,188,running,0,25,0
13,3,14,Chase Briscoe,Old Spice   (Stewart Haas Racing),Ford,188,running,0,27,0
14,15,20,Christopher Bell,DEWALT Electrical Solutions   (Joe Gibbs),Toyota,188,running,2,23,0
15,4,5,Kyle Larson,Valvoline / HendrickCars.com   (Rick Hendrick),Chevrolet,188,running,1,34,0
16,13,45,Tyler Reddick,McDonald's   (23XI Racing),Toyota,188,running,2,22,0
17,1,10,Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,188,running,7,20,0
18,16,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,188,running,0,19,0
19,24,17,Chris Buescher,BuildSubmarines.com   (Jack Roush),Ford,188,running,3,18,0
20,31,16,A.J. Allmendinger,Action Industries   (Matthew Kaulig),Chevrolet,188,running,0,17,0
21,18,34,Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,188,running,5,16,0
22,35,47,Ricky Stenhouse Jr,Sara Lee Artesano Bakery Bread   (JTG-Daugherty Racing),Chevrolet,188,running,14,15,0
23,9,23,Bubba Wallace,Leidos   (23XI Racing),Toyota,188,running,3,14,0
24,2,22,Joey Logano,Shell Pennzoil   (Roger Penske),Ford,188,running,48,24,0
25,25,8,Kyle Busch,X World Wallet   (Richard Childress),Chevrolet,188,running,2,12,0
26,26,43,Erik Jones,Allegiant   (Legacy Motor Club),Chevrolet,188,running,4,11,0
27,33,77,Ty Dillon,Ferris Commercial Mowers   (Spire Motorsports),Chevrolet,188,running,2,12,0
28,20,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,188,running,13,15,0
29,37,78,B.J. McLeod,Gunk   (B.J. McLeod),Chevrolet,187,running,0,0,0
30,29,15,Brennan Poole,Finance Pro Plus   (Rick Ware),Ford,186,running,0,0,0
31,21,21,Harrison Burton,DEX Imaging   (Wood Brothers),Ford,175,suspension,0,6,0
32,5,6,Brad Keselowski,Solomon Plumbing   (Jack Roush),Ford,161,crash,5,15,1
33,14,3,Austin Dillon,Bass Pro Shops   (Richard Childress),Chevrolet,161,crash,1,11,0
34,22,54,Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,161,crash,0,3,0
35,38,42,Carson Hocevar,Sunseeker Resorts   (Legacy Motor Club),Chevrolet,161,crash,0,0,0
36,27,51,J.J. Yeley,Biohaven/Jacob Co.   (Rick Ware),Ford,83,fuel pump,0,0,0
37,32,1,Ross Chastain,Worldwide Express   (Trackhouse Racing),Chevrolet,59,crash,0,1,0
38,11,4,Kevin Harvick,Busch Light Camo   (Stewart Haas Racing),Ford,188,running,11,1,0
